trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		140		160		180		100		120		140		180		100		100		100		100		100		100		100		100		100		100		120		120		140		140		140		140		100		100		120		120		140		140		160		160		100		100		120		120		140		140		180		180		100		100		100		100		100		100		100		100		100		100		120		120		120		120		120		120		100		100		140		140		140		140		140		140		100		100		140		140		160		160		180		180
0	Apriori	Id(Bk)Syl1>>Id(Bk)	10	10																																																																																																																																																		
1	auI	Aui	2	12	0	0			-2	138	-2	158	-2	178	2	102	2	122	2	142	2	182																													-2	138	-2	138													-2	158	-2	158													-2	178	-2	178																																																													-2	178	-2	178
2	yAA	yaa			2	2			2	140	2	160	2	180							-2	180																													-2	136	-2	136													-2	156	-2	156													-2	176	-2	176																																																																
3	yAO	uao	2	14	0	2	2	102	2	142	2	162	2	182					-2	140	-2	178																																																																																																																																
6	EuE	eue	2	16	0	2					-2	160	-2	180			2	124	2	142	2	180																																													-2	154	-2	154													-2	174	-2	174																																																									-2	158	-2	158	-2	176	-2	176
7	auu	Auu	2	18	0	2			-2	140	-2	158	-2	178							2	182																													-2	134	-2	134													-2	152	-2	152													-2	172	-2	172																																																																
8	Ayy	Auu			2	4			2	142	2	160	2	180							-2	180																													-2	132	-2	132													-2	150	-2	150													-2	170	-2	170																																																																
9	aou	Aou	2	20	0	4			-2	140	-2	158	-2	178							2	182																									-2	138	-2	138	-2	130	-2	130									-2	138	-2	138	-2	148	-2	148									-2	138	-2	138	-2	168	-2	168																																																																
10	ieA	iea			2	6			2	142	2	160	2	180							-2	180																																													-2	146	-2	146													-2	166	-2	166																																																																
11	ooa	Ooa	2	22	0	6	-2	100	-2	140	-2	158	-2	178					2	144	2	182									-2	98	-2	98	-2	98	-2	98									-2	136	-2	136	-2	128	-2	128									-2	136	-2	136	-2	144	-2	144									-2	136	-2	136	-2	164	-2	164																																																																
12	yOy	uou	2	24	0	6	2	102	2	142	2	160	2	180					-2	142	-2	180																																																																																																																																
13	AAO	Aao			2	8	2	104	2	144	2	162	2	182					-2	140	-2	178																											-2	134	-2	126	-2	126											-2	134	-2	142	-2	142											-2	134	-2	162	-2	162																																																																
14	uIu	yiu	2	26	0	8			-2	142	-2	160	-2	180	2	104	2	126	2	142	2	180																															-2	124															-2	140													-2	160	-2	160																																																																
15	eii	Eii	2	28	0	8					2	162	2	182			-2	124	-2	140	-2	178																																																																																													-2	118	-2	118													-2	138	-2	138													-2	174	-2	174
16	uEo	ueo			2	10					-2	160	-2	180			2	126	2	142	2	180																																									-2	134	-2	132	-2	140	-2	138									-2	134	-2	132	-2	158	-2	158																																																									-2	156	-2	156	-2	172	-2	172
17	eey	eeu			2	12			2	144	2	162	2	182							-2	178																																													-2	138	-2	136													-2	156	-2	156																																																																
