trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		74.54545454545455		103.63636363636363		118.18181818181819		132.72727272727275		74.54545454545455		89.0909090909091		103.63636363636363		132.72727272727275		60.95454545454545		61.36363636363637		61.90909090909091		62.72727272727273		62.86363636363637		64.0909090909091		64.77272727272728		66.81818181818181		62.86363636363637		63.81818181818182		65.72727272727273		67.63636363636364		68.5909090909091		71.45454545454545		74.31818181818181		79.0909090909091		63.81818181818182		64.9090909090909		67.63636363636364		69.81818181818181		71.45454545454545		74.72727272727273		79.0909090909091		84.54545454545455		64.77272727272728		65.9090909090909		69.54545454545455		71.81818181818181		74.31818181818181		77.72727272727272		83.86363636363636		89.54545454545455		60.95454545454545		61.36363636363637		62.86363636363637		63.81818181818182		63.81818181818182		64.9090909090909		64.77272727272728		65.9090909090909		61.90909090909091		62.72727272727273		65.72727272727273		67.63636363636364		67.63636363636364		69.81818181818181		69.54545454545455		71.81818181818181		62.86363636363637		64.0909090909091		68.5909090909091		71.45454545454545		71.45454545454545		74.72727272727273		74.31818181818181		77.72727272727272		64.77272727272728		66.81818181818181		74.31818181818181		79.0909090909091		79.0909090909091		84.54545454545455		83.86363636363636		89.54545454545455
4	Ea	eA	2	2	2	2			-2	101.63636363636363	-2	116.18181818181819	-2	130.72727272727275			2	91.0909090909091	2	105.63636363636363	2	134.72727272727275																																																																																																																																
5	EIE	eie	2	4	2	4					-2	114.18181818181819	-2	128.72727272727275	2	76.54545454545455	2	93.0909090909091	2	107.63636363636363	2	136.72727272727275																																																																																																																																
6	Aei	aei	2	6	2	6			2	103.63636363636363	2	116.18181818181819	2	130.72727272727275							-2	134.72727272727275																																																																																																																									-2	77.0909090909091	-2	82.54545454545455	-2	81.86363636363636	-2	87.54545454545455
11	yOy	uou	2	8	2	8	2	76.54545454545455	2	105.63636363636363	2	118.18181818181819	2	132.72727272727275					-2	105.63636363636363	-2	132.72727272727275																																																																																																																																
12	Oey	oeu	2	10	2	10	2	78.54545454545455	2	107.63636363636363	2	120.18181818181819	2	134.72727272727275					-2	103.63636363636363	-2	130.72727272727275																																													-2	77.0909090909091	-2	82.54545454545455													-2	81.86363636363636	-2	87.54545454545455																																									-2	69.45454545454545	-2	72.72727272727273	-2	72.31818181818181	-2	75.72727272727272									-2	75.0909090909091	-2	80.54545454545455	-2	79.86363636363636	-2	85.54545454545455
13	EEE	eee	2	12	2	12					-2	118.18181818181819	-2	132.72727272727275			2	95.0909090909091	2	105.63636363636363	2	132.72727272727275																																																																																																																																
14	Iuo	iyO	2	14	2	14	-2	76.54545454545455	-2	105.63636363636363	-2	116.18181818181819	-2	130.72727272727275	2	78.54545454545455	2	97.0909090909091	2	107.63636363636363	2	134.72727272727275																																																																																																																																
17	yAe	uae	2	16	2	16			2	107.63636363636363	2	118.18181818181819	2	132.72727272727275							-2	132.72727272727275																																																																																																																									-2	73.0909090909091	-2	78.54545454545455	-2	77.86363636363636	-2	83.54545454545455
18	iOA	ioa			2	18	2	78.54545454545455	2	109.63636363636363	2	120.18181818181819	2	134.72727272727275					-2	105.63636363636363	-2	130.72727272727275																																																									-2	72.31818181818181	-2	75.72727272727272	-2	79.86363636363636	-2	85.54545454545455																																																																
