trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		140		140		140		140		140		140		140		140		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120		100		120
0	Apriori	Id(Bk)Syl1>>Id(Bk)	30	30																																																																																																																																																		
1	yyA	yua			2	2			2	142	2	142	2	142							-2	138																													-2	98	-2	118													-2	98	-2	118													-2	98	-2	118																																																																
1	Apriori	Id(Bk)Syl1>>Id(Bk)	2	32																																																																																																																																																			
2	oou	Oou	2	34	0	2	-2	138	-2	140	-2	140	-2	140					2	142	2	140									-2	98	-2	118	-2	98	-2	118									-2	98	-2	118	-2	96	-2	116									-2	98	-2	118	-2	96	-2	116									-2	98	-2	118	-2	96	-2	116																																																																
4	EEI	eei	2	36	0	2					-2	138	-2	138	2	142	2	142	2	144	2	142																																																																																																																																
5	OiA	Oia			2	4			2	142	2	140	2	140							-2	140															-2	116															-2	114															-2	114													-2	94	-2	114																																																																
6	euO	Euo	2	38	0	4	2	140	2	144	2	142	2	142			-2	140	-2	142	-2	138																																													2	98	2	116													2	96	2	116																																																	2	102	2	122	2	102	2	122	2	102	2	122	2	102	2	122
12	Oai	oai	2	40	0	4	2	142	2	146	2	144	2	144					-2	140	-2	136													2	100	2	118													2	98	2	116													2	100	2	118													2	98	2	118																																															-2	118															-2	120
14	aEE	aee			2	6					-2	142	-2	142			2	142	2	142	2	138																																																																																																																									-2	100	-2	120	-2	100	-2	118
