trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		74.72727272727272		124.18181818181817		148.9090909090909		173.63636363636363		74.72727272727272		99.45454545454545		124.18181818181817		173.63636363636363		51.622727272727275		52.31818181818182		53.24545454545454		54.63636363636363		54.86818181818182		56.95454545454545		58.11363636363637		61.59090909090909		54.86818181818182		56.49090909090909		59.736363636363635		62.981818181818184		64.60454545454544		69.47272727272727		74.3409090909091		82.45454545454547		56.49090909090909		58.345454545454544		62.981818181818184		66.69090909090909		69.47272727272727		75.03636363636363		82.45454545454547		91.72727272727272		58.11363636363637		60.04545454545455		66.22727272727273		70.0909090909091		74.3409090909091		80.13636363636363		90.56818181818181		100.22727272727272		51.622727272727275		52.31818181818182		54.86818181818182		56.49090909090909		56.49090909090909		58.345454545454544		58.11363636363637		60.04545454545455		53.24545454545454		54.63636363636363		59.736363636363635		62.981818181818184		62.981818181818184		66.69090909090909		66.22727272727273		70.0909090909091		54.86818181818182		56.95454545454545		64.60454545454544		69.47272727272727		69.47272727272727		75.03636363636363		74.3409090909091		80.13636363636363		58.11363636363637		61.59090909090909		74.3409090909091		82.45454545454547		82.45454545454547		91.72727272727272		90.56818181818181		100.22727272727272
1	yO	uo	2	2	2	2	2	76.72727272727272	2	126.18181818181817	2	150.9090909090909	2	175.63636363636363					-2	122.18181818181817	-2	171.63636363636363																																																																																																																																
2	EEo	eeO	2	4	2	4	-2	74.72727272727272	-2	124.18181818181817	-2	148.9090909090909	-2	173.63636363636363			2	101.45454545454545	2	124.18181818181817	2	173.63636363636363																																																																																																																																
4	EIo	eiO	2	6	2	6	-2	72.72727272727272	-2	122.18181818181817	-2	146.9090909090909	-2	171.63636363636363	2	76.72727272727272	2	103.45454545454545	2	126.18181818181817	2	175.63636363636363																																																																																																																																
6	Aey	aeu	2	8	2	8			2	124.18181818181817	2	148.9090909090909	2	173.63636363636363							-2	173.63636363636363																																													-2	80.45454545454547	-2	89.72727272727272													-2	88.56818181818181	-2	98.22727272727272																																																									-2	80.45454545454547	-2	89.72727272727272	-2	88.56818181818181	-2	98.22727272727272
7	eyO	euo			2	10	2	74.72727272727272	2	126.18181818181817	2	150.9090909090909	2	175.63636363636363					-2	124.18181818181817	-2	171.63636363636363																																											-2	73.03636363636363	-2	78.45454545454547	-2	87.72727272727272											-2	78.13636363636363	-2	86.56818181818181	-2	96.22727272727272																																																																
8	EEu	eey	2	10	2	12			-2	124.18181818181817	-2	148.9090909090909	-2	173.63636363636363			2	105.45454545454545	2	126.18181818181817	2	173.63636363636363																																																																																																																																
9	iey	ieu			2	14			2	126.18181818181817	2	150.9090909090909	2	175.63636363636363							-2	171.63636363636363																																													-2	76.45454545454547	-2	85.72727272727272													-2	84.56818181818181	-2	94.22727272727272																																																																
11	EIE	eie	2	12	2	16					-2	148.9090909090909	-2	173.63636363636363	2	78.72727272727272	2	107.45454545454545	2	128.1818181818182	2	173.63636363636363																																																																																																																																
12	ouo	OyO	2	14	2	18	-2	72.72727272727272	-2	124.18181818181817	-2	146.9090909090909	-2	171.63636363636363					2	130.1818181818182	2	175.63636363636363																																																																																																																																
15	Oei	oei	2	16	2	20	2	74.72727272727272	2	126.18181818181817	2	148.9090909090909	2	173.63636363636363					-2	128.1818181818182	-2	173.63636363636363																																																																																																									-2	67.47272727272727	-2	73.03636363636363	-2	72.3409090909091	-2	78.13636363636363									-2	78.45454545454547	-2	87.72727272727272	-2	86.56818181818181	-2	96.22727272727272
16	OA	oa	2	18	2	22	2	76.72727272727272	2	128.1818181818182	2	150.9090909090909	2	175.63636363636363					-2	126.18181818181819	-2	171.63636363636363																																																																																																																																
17	aEI	aei			2	24					-2	148.9090909090909	-2	173.63636363636363	2	80.72727272727272	2	109.45454545454545	2	128.1818181818182	2	173.63636363636363																																																																																																																									-2	76.45454545454547	-2	85.72727272727272	-2	84.56818181818181	-2	94.22727272727272
18	eiA	eia			2	26			2	130.1818181818182	2	150.9090909090909	2	175.63636363636363							-2	171.63636363636363																																															-2	83.72727272727272													-2	82.56818181818181	-2	92.22727272727272																																																																
19	oII	oii			2	28							-2	173.63636363636363	2	82.72727272727272	2	111.45454545454545	2	130.1818181818182	2	173.63636363636363																																																																																																													-2	70.3409090909091	-2	76.13636363636363													-2	82.56818181818181	-2	92.22727272727272
24	Eao	eao	2	20	2	30					-2	148.9090909090909	-2	171.63636363636363			2	113.45454545454545	2	132.1818181818182	2	175.63636363636363																																											-2	71.03636363636363	-2	74.45454545454547	-2	81.72727272727272											-2	76.13636363636363	-2	80.56818181818181	-2	90.22727272727272																																																																
25	Aie	aie	2	22	2	32			2	132.1818181818182	2	150.9090909090909	2	173.63636363636363							-2	173.63636363636363																																																																																																																											-2	83.72727272727272	-2	80.56818181818181	-2	90.22727272727272
27	oE	Oe	2	24	2	34	-2	74.72727272727272	-2	130.1818181818182	-2	148.9090909090909	-2	171.63636363636363			2	115.45454545454545	2	134.1818181818182	2	175.63636363636363																																																																																																																																
28	yy	uu	2	26	2	36			2	132.1818181818182	2	150.9090909090909	2	173.63636363636363							-2	173.63636363636363																																																																																																																																
30	Oee	oee	2	28	2	38	2	76.72727272727272	2	134.1818181818182	2	152.9090909090909	2	175.63636363636363					-2	132.1818181818182	-2	171.63636363636363																																																																																																									-2	65.47272727272727	-2	71.03636363636363	-2	68.3409090909091	-2	74.13636363636363									-2	74.45454545454547	-2	81.72727272727272	-2	78.56818181818181	-2	88.22727272727272
31	uI	yi	2	30	2	40			-2	132.1818181818182	-2	150.9090909090909	-2	173.63636363636363	2	84.72727272727272	2	117.45454545454545	2	134.1818181818182	2	173.63636363636363																																																																																																																																
32	aEo	aeo			2	42					-2	148.9090909090909	-2	171.63636363636363			2	119.45454545454545	2	136.1818181818182	2	175.63636363636363																																									-2	67.47272727272727	-2	69.03636363636363	-2	72.45454545454547	-2	79.72727272727272									-2	72.3409090909091	-2	74.13636363636363	-2	78.56818181818181	-2	88.22727272727272																																																									-2	72.45454545454547	-2	79.72727272727272	-2	76.56818181818181	-2	86.22727272727272
33	OA	oa	2	32	2	44	2	78.72727272727272	2	134.1818181818182	2	150.9090909090909	2	173.63636363636363					-2	134.1818181818182	-2	173.63636363636363																																																																																																																																
34	iyi	iui			2	46			2	136.1818181818182	2	152.9090909090909	2	175.63636363636363							-2	171.63636363636363																																																													-2	76.56818181818181	-2	86.22727272727272																																																													-2	74.56818181818181	-2	84.22727272727272
36	IIu	iiy	2	34	2	48			-2	134.1818181818182	-2	150.9090909090909	-2	173.63636363636363	2	86.72727272727272	2	121.45454545454545	2	136.1818181818182	2	173.63636363636363																																																																																																																																
37	uoI	yOi	2	36	2	50	-2	76.72727272727272	-2	132.1818181818182	-2	148.9090909090909	-2	171.63636363636363	2	88.72727272727272	2	123.45454545454545	2	138.1818181818182	2	175.63636363636363																																																																																																																																
40	AeA	aea	2	38	2	52			2	134.1818181818182	2	150.9090909090909	2	173.63636363636363							-2	173.63636363636363																																													-2	70.45454545454547	-2	77.72727272727272													-2	74.56818181818181	-2	84.22727272727272																																																									-2	70.45454545454547	-2	77.72727272727272	-2	72.56818181818181	-2	82.22727272727272
41	oE	Oe	2	40	2	54	-2	74.72727272727272	-2	132.1818181818182	-2	148.9090909090909	-2	171.63636363636363			2	125.45454545454545	2	140.1818181818182	2	175.63636363636363																																																																																																																																
43	iO	io			2	56	2	76.72727272727272	2	134.1818181818182	2	150.9090909090909	2	173.63636363636363					-2	138.1818181818182	-2	173.63636363636363																																																									-2	70.3409090909091	-2	72.13636363636363	-2	72.56818181818181	-2	82.22727272727272																																																																
44	oaI	OAi	2	42	2	58	-2	74.72727272727272	-2	132.1818181818182	-2	148.9090909090909	-2	171.63636363636363	2	90.72727272727272	2	127.45454545454545	2	140.1818181818182	2	175.63636363636363																																																																																																																																
50	Oee	oee	2	44	2	60	2	76.72727272727272	2	134.1818181818182	2	150.9090909090909	2	173.63636363636363					-2	138.1818181818182	-2	173.63636363636363																																																																																																									-2	63.47272727272727	-2	69.03636363636363	-2	66.3409090909091	-2	72.13636363636363									-2	68.45454545454547	-2	75.72727272727272	-2	70.56818181818181	-2	80.22727272727272
51	ouI	oui			2	62							-2	171.63636363636363	2	92.72727272727272	2	129.45454545454544	2	140.1818181818182	2	175.63636363636363																																																																																																															-2	70.13636363636363													-2	68.56818181818181	-2	78.22727272727272
52	AAi	aai	2	46	2	64			2	136.1818181818182	2	152.9090909090909	2	173.63636363636363							-2	173.63636363636363																																																																																																																													-2	66.56818181818181	-2	76.22727272727272
54	uIu	uiu			2	66							-2	171.63636363636363	2	94.72727272727272	2	131.45454545454544	2	142.1818181818182	2	175.63636363636363																																																													-2	70.56818181818181	-2	80.22727272727272																																																													-2	64.56818181818181	-2	74.22727272727272
56	OiO	oio	2	48	2	68	2	78.72727272727272	2	138.1818181818182	2	154.9090909090909	2	173.63636363636363					-2	140.1818181818182	-2	173.63636363636363																																																									-2	68.3409090909091	-2	70.13636363636363	-2	68.56818181818181	-2	78.22727272727272																																													-2	64.3409090909091	-2	68.13636363636363													-2	62.56818181818181	-2	72.22727272727272
58	Ae	ae	2	50	2	70			2	140.1818181818182	2	156.9090909090909	2	175.63636363636363							-2	171.63636363636363																																																																																																																									-2	66.45454545454547	-2	73.72727272727272	-2	60.56818181818181	-2	70.22727272727272
59	IaI	iai	2	52	2	72							-2	173.63636363636363	2	96.72727272727272	2	133.45454545454544	2	142.1818181818182	2	173.63636363636363																																																													-2	66.56818181818181	-2	76.22727272727272																																																													-2	58.56818181818181	-2	68.22727272727272
60	uau	yAy	2	54	2	74			-2	138.1818181818182	-2	154.9090909090909	-2	171.63636363636363							2	175.63636363636363																																																																																																																																
65	Oei	oei	2	56	2	76	2	80.72727272727272	2	140.1818181818182	2	156.9090909090909	2	173.63636363636363					-2	140.1818181818182	-2	173.63636363636363																																																																																																									-2	61.47272727272727	-2	67.03636363636363	-2	62.34090909090909	-2	66.13636363636363									-2	64.45454545454547	-2	71.72727272727272	-2	56.56818181818181	-2	66.22727272727272
66	uaE	yAe	2	58	2	78			-2	138.1818181818182	-2	154.9090909090909	-2	171.63636363636363			2	135.45454545454544	2	142.1818181818182	2	175.63636363636363																																																																																																																																
67	OAA	oaa	2	60	2	80	2	82.72727272727272	2	140.1818181818182	2	156.9090909090909	2	173.63636363636363					-2	140.1818181818182	-2	173.63636363636363																																																																																																																																
68	eAi	eai			2	82			2	142.1818181818182	2	158.9090909090909	2	175.63636363636363							-2	171.63636363636363																																													-2	68.45454545454547	-2	75.72727272727272													-2	64.56818181818181	-2	74.22727272727272																																																													-2	54.56818181818181	-2	64.22727272727272
69	oEE	Oee	2	62	2	84	-2	80.72727272727272	-2	140.1818181818182	-2	156.9090909090909	-2	173.63636363636363			2	137.45454545454544	2	142.1818181818182	2	173.63636363636363																																																																																																																																
