trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		121.81818181818181		165.45454545454544		187.27272727272725		209.0909090909091		121.81818181818181		143.63636363636363		165.45454545454544		209.0909090909091		101.43181818181819		102.04545454545455		102.86363636363636		104.0909090909091		104.29545454545455		106.13636363636364		107.1590909090909		110.22727272727272		104.29545454545455		105.72727272727273		108.5909090909091		111.45454545454545		112.88636363636364		117.18181818181819		121.47727272727272		128.63636363636363		105.72727272727273		107.36363636363636		111.45454545454545		114.72727272727272		117.18181818181819		122.0909090909091		128.63636363636363		136.8181818181818		107.1590909090909		108.86363636363636		114.31818181818181		117.72727272727272		121.47727272727272		126.5909090909091		135.79545454545456		144.3181818181818		101.43181818181819		102.04545454545455		104.29545454545455		105.72727272727273		105.72727272727273		107.36363636363636		107.1590909090909		108.86363636363636		102.86363636363636		104.0909090909091		108.5909090909091		111.45454545454545		111.45454545454545		114.72727272727272		114.31818181818181		117.72727272727272		104.29545454545455		106.13636363636364		112.88636363636364		117.18181818181819		117.18181818181819		122.0909090909091		121.47727272727272		126.5909090909091		107.1590909090909		110.22727272727272		121.47727272727272		128.63636363636363		128.63636363636363		136.8181818181818		135.79545454545456		144.3181818181818
1	uIa	uia			2	2							-2	207.0909090909091	2	123.81818181818181	2	145.63636363636363	2	167.45454545454544	2	211.0909090909091																																																													-2	133.79545454545456	-2	142.3181818181818																																																													-2	133.79545454545456	-2	142.3181818181818
2	eOA	eoa			2	4	2	123.81818181818181	2	167.45454545454544	2	189.27272727272725	2	209.0909090909091					-2	165.45454545454544	-2	209.0909090909091																																									-2	115.18181818181819	-2	120.0909090909091	-2	126.63636363636363	-2	134.8181818181818									-2	119.47727272727272	-2	124.5909090909091	-2	131.79545454545456	-2	140.3181818181818																																																																
3	EIE	Eie			2	6					-2	187.27272727272725	-2	207.0909090909091	2	125.81818181818181	2	147.63636363636363	2	167.45454545454544	2	211.0909090909091																																																																																											-2	112.72727272727272	-2	112.31818181818181	-2	115.72727272727272											-2	120.0909090909091	-2	119.47727272727272	-2	124.5909090909091											-2	134.8181818181818	-2	131.79545454545456	-2	140.3181818181818
4	Oey	Oeu			2	8			2	169.45454545454544	2	189.27272727272725	2	209.0909090909091							-2	209.0909090909091															-2	108.22727272727272															-2	126.63636363636363													-2	124.63636363636363	-2	132.8181818181818													-2	129.79545454545456	-2	138.3181818181818																																																																
5	eOA	eoa			2	10	2	125.81818181818181	2	171.45454545454544	2	191.27272727272725	2	211.0909090909091					-2	165.45454545454544	-2	207.0909090909091																																									-2	113.18181818181819	-2	118.0909090909091	-2	122.63636363636363	-2	130.8181818181818									-2	117.47727272727272	-2	122.5909090909091	-2	127.79545454545456	-2	136.3181818181818																																																																
6	aao	Aao	2	2	2	12			-2	169.45454545454544	-2	189.27272727272725	-2	209.0909090909091							2	209.0909090909091																											-2	115.18181818181819	-2	119.47727272727272	-2	124.63636363636363											-2	116.0909090909091	-2	120.63636363636363	-2	128.8181818181818											-2	120.5909090909091	-2	125.79545454545456	-2	134.3181818181818																																																																
7	yyi	yui			2	14			2	171.45454545454544	2	191.27272727272725	2	211.0909090909091							-2	207.0909090909091																													-2	117.47727272727272	-2	122.63636363636363													-2	118.63636363636363	-2	126.81818181818181													-2	123.79545454545456	-2	132.3181818181818																																																													-2	129.79545454545456	-2	138.3181818181818
8	EEo	Eeo			2	16					-2	189.27272727272725	-2	209.0909090909091			2	149.63636363636363	2	167.45454545454544	2	209.0909090909091																																									-2	111.18181818181819	-2	114.0909090909091	-2	116.63636363636363	-2	124.81818181818181									-2	115.47727272727272	-2	118.5909090909091	-2	121.79545454545456	-2	130.3181818181818																									-2	109.45454545454545	-2	110.72727272727272	-2	110.31818181818181	-2	113.72727272727272									-2	115.18181818181819	-2	118.0909090909091	-2	117.47727272727272	-2	122.5909090909091									-2	126.63636363636363	-2	132.8181818181818	-2	127.79545454545456	-2	136.3181818181818
9	yey	yeu			2	18			2	173.45454545454544	2	191.27272727272725	2	211.0909090909091							-2	207.0909090909091																															-2	120.63636363636363													-2	114.63636363636363	-2	122.81818181818181													-2	119.79545454545456	-2	128.3181818181818																																																																
