trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		64.54545454545455		93.63636363636363		108.18181818181819		122.72727272727273		64.54545454545455		79.0909090909091		93.63636363636363		122.72727272727273		50.95454545454545		51.36363636363637		51.90909090909091		52.72727272727273		52.86363636363637		54.09090909090909		54.77272727272727		56.81818181818182		52.86363636363637		53.81818181818182		55.72727272727273		57.63636363636364		58.59090909090909		61.45454545454545		64.31818181818181		69.0909090909091		53.81818181818182		54.90909090909091		57.63636363636364		59.81818181818182		61.45454545454545		64.72727272727273		69.0909090909091		74.54545454545455		54.77272727272727		55.90909090909091		59.54545454545455		61.81818181818182		64.31818181818181		67.72727272727272		73.86363636363636		79.54545454545455		50.95454545454545		51.36363636363637		52.86363636363637		53.81818181818182		53.81818181818182		54.90909090909091		54.77272727272727		55.90909090909091		51.90909090909091		52.72727272727273		55.72727272727273		57.63636363636364		57.63636363636364		59.81818181818182		59.54545454545455		61.81818181818182		52.86363636363637		54.09090909090909		58.59090909090909		61.45454545454545		61.45454545454545		64.72727272727273		64.31818181818181		67.72727272727272		54.77272727272727		56.81818181818182		64.31818181818181		69.0909090909091		69.0909090909091		74.54545454545455		73.86363636363636		79.54545454545455
0	Apriori	Id(Bk)Syl1>>Id(Bk)	35	35																																																																																																																																																		
1	AOO	Aoo			2	2	2	66.54545454545455	2	95.63636363636363	2	110.18181818181819	2	124.72727272727273					-2	91.63636363636363	-2	120.72727272727273																									-2	56.59090909090909	-2	59.45454545454545	-2	62.31818181818181	-2	67.0909090909091									-2	59.45454545454545	-2	62.727272727272734	-2	67.0909090909091	-2	72.54545454545455									-2	62.31818181818181	-2	65.72727272727272	-2	71.86363636363636	-2	77.54545454545455																																																																
1	Apriori	Id(Bk)Syl1>>Id(Bk)	2	37																																																																																																																																																			
2	uEu	yeu	2	39	0	2			-2	93.63636363636363	-2	108.18181818181819	-2	122.72727272727273			2	81.0909090909091	2	93.63636363636363	2	122.72727272727273																															-2	65.0909090909091													-2	65.0909090909091	-2	70.54545454545455													-2	69.86363636363636	-2	75.54545454545455																																																																
3	Oey	Oeu			2	4			2	95.63636363636363	2	110.18181818181819	2	124.72727272727273							-2	120.72727272727273															-2	54.81818181818182															-2	63.09090909090909													-2	63.09090909090909	-2	68.54545454545455													-2	67.86363636363636	-2	73.54545454545455																																																																
4	aIa	Aia	2	41	0	4			-2	93.63636363636363	-2	108.18181818181819	-2	122.72727272727273	2	66.54545454545455	2	83.0909090909091	2	95.63636363636363	2	122.72727272727273																															-2	61.09090909090909															-2	66.54545454545455													-2	65.86363636363636	-2	71.54545454545455																																																																
5	eOy	eou			2	6	2	68.54545454545455	2	95.63636363636363	2	110.18181818181819	2	124.72727272727273					-2	93.63636363636363	-2	120.72727272727273																																									-2	57.45454545454545	-2	60.727272727272734	-2	61.09090909090909	-2	64.54545454545455									-2	60.31818181818181	-2	63.72727272727272	-2	63.86363636363636	-2	69.54545454545455																																																																
6	AAy	aau	2	43	0	6			2	97.63636363636363	2	112.18181818181819	2	126.72727272727273							-2	118.72727272727273																																																																																																																																
8	oau	Oau	2	45	0	6	-2	66.54545454545455	-2	95.63636363636363	-2	110.18181818181819	-2	124.72727272727273					2	95.63636363636363	2	120.72727272727273													-2	52.77272727272727	-2	52.81818181818182													-2	60.31818181818181	-2	59.09090909090909													-2	59.09090909090909	-2	62.54545454545455													-2	61.86363636363636	-2	67.54545454545455																																																																
