trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		129.0909090909091		187.27272727272725		216.36363636363637		245.45454545454547		129.0909090909091		158.1818181818182		187.27272727272725		245.45454545454547		101.9090909090909		102.72727272727273		103.81818181818181		105.45454545454545		105.72727272727273		108.18181818181819		109.54545454545455		113.63636363636364		105.72727272727273		107.63636363636364		111.45454545454545		115.27272727272728		117.18181818181819		122.9090909090909		128.63636363636363		138.1818181818182		107.63636363636364		109.81818181818181		115.27272727272728		119.63636363636364		122.9090909090909		129.45454545454547		138.1818181818182		149.0909090909091		109.54545454545455		111.81818181818181		119.0909090909091		123.63636363636364		128.63636363636363		135.45454545454544		147.72727272727272		159.0909090909091		101.9090909090909		102.72727272727273		105.72727272727273		107.63636363636364		107.63636363636364		109.81818181818181		109.54545454545455		111.81818181818181		103.81818181818181		105.45454545454545		111.45454545454545		115.27272727272728		115.27272727272728		119.63636363636364		119.0909090909091		123.63636363636364		105.72727272727273		108.18181818181819		117.18181818181819		122.9090909090909		122.9090909090909		129.45454545454547		128.63636363636363		135.45454545454544		109.54545454545455		113.63636363636364		128.63636363636363		138.1818181818182		138.1818181818182		149.0909090909091		147.72727272727272		159.0909090909091
0	Apriori	Id(Bk)Syl1>>Id(Bk)	20	20																																																																																																																																																		
2	yAA	uaa	0.4	20.4	0	0			0.4	187.67272727272726	0.4	216.76363636363638	0.4	245.85454545454547							-2	243.45454545454547																																																																																																																																
4	Ioo	ioo	0.3333333333333333	20.73333333333333	0	0							-2	243.85454545454547	0.3333333333333333	129.42424242424244	0.3333333333333333	158.51515151515153	0.3333333333333333	187.6060606060606	0.3333333333333333	243.7878787878788																																																									-2	126.63636363636363	-2	133.45454545454544	-2	145.72727272727272	-2	157.0909090909091																																																																
5	ao	AO	0.5	21.23333333333333	0	0	-2	127.0909090909091	-2	185.67272727272726	-2	214.76363636363638	-2	241.85454545454547					0.5	188.1060606060606	0.5	244.2878787878788																																																																																																																																
6	uIE	uie			0.3333333333333333	0.3333333333333333					-2	212.76363636363638	-2	239.85454545454547	0.3333333333333333	129.75757575757578	0.3333333333333333	158.84848484848487	0.3333333333333333	188.43939393939394	0.3333333333333333	244.62121212121215																																																																																																																											-2	147.0909090909091	-2	145.72727272727272	-2	157.0909090909091
8	eO	eo			0.3333333333333333	0.6666666666666666	0.3333333333333333	127.42424242424242	0.3333333333333333	186.0060606060606	0.3333333333333333	213.09696969696972	0.3333333333333333	240.18787878787882					-2	186.43939393939394	-2	242.62121212121215																																									-2	120.9090909090909	-2	127.45454545454547	-2	136.1818181818182	-2	147.0909090909091									-2	124.63636363636363	-2	131.45454545454544	-2	143.72727272727272	-2	155.0909090909091																																																																
10	Ia	iA	0.3333333333333333	21.566666666666663	0	0.6666666666666666			-2	184.0060606060606	-2	211.09696969696972	-2	238.18787878787882	0.3333333333333333	130.09090909090912	0.3333333333333333	159.18181818181822	0.3333333333333333	186.77272727272728	0.3333333333333333	242.9545454545455																																																																																																																																
11	Oyi	oui	0.3333333333333333	21.899999999999995	0	0.6666666666666666	0.3333333333333333	127.75757575757575	0.3333333333333333	184.33939393939394	0.3333333333333333	211.43030303030307	0.3333333333333333	238.52121212121216					-2	184.77272727272728	-2	240.9545454545455																																																																																																															-2	133.45454545454544													-2	143.72727272727272	-2	155.0909090909091
13	yyi	uui	0.4	22.299999999999994	0	0.6666666666666666			0.4	184.73939393939395	0.4	211.83030303030307	0.4	238.92121212121216							-2	238.9545454545455																																																																																																																													-2	141.72727272727272	-2	153.0909090909091
