trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		77.45454545454545		112.36363636363636		129.8181818181818		147.27272727272728		77.45454545454545		94.9090909090909		112.36363636363636		147.27272727272728		61.14545454545455		61.63636363636363		62.29090909090909		63.27272727272727		63.43636363636364		64.9090909090909		65.72727272727273		68.18181818181819		63.43636363636364		64.58181818181818		66.87272727272727		69.16363636363636		70.30909090909091		73.74545454545455		77.18181818181819		82.9090909090909		64.58181818181818		65.89090909090909		69.16363636363636		71.78181818181818		73.74545454545455		77.67272727272727		82.9090909090909		89.45454545454545		65.72727272727273		67.0909090909091		71.45454545454545		74.18181818181819		77.18181818181819		81.27272727272727		88.63636363636364		95.45454545454545		61.14545454545455		61.63636363636363		63.43636363636364		64.58181818181818		64.58181818181818		65.89090909090909		65.72727272727273		67.0909090909091		62.29090909090909		63.27272727272727		66.87272727272727		69.16363636363636		69.16363636363636		71.78181818181818		71.45454545454545		74.18181818181819		63.43636363636364		64.9090909090909		70.30909090909091		73.74545454545455		73.74545454545455		77.67272727272727		77.18181818181819		81.27272727272727		65.72727272727273		68.18181818181819		77.18181818181819		82.9090909090909		82.9090909090909		89.45454545454545		88.63636363636364		95.45454545454545
0	Apriori	Id(Bk)Syl1>>Id(Bk)	20	20																																																																																																																																																		
1	uoo	yOO	0.5	20.5	0	0	-2	75.45454545454545	-2	110.36363636363636	-2	127.81818181818181	-2	145.27272727272728					0.5	112.86363636363636	0.5	147.77272727272728																																																																																																																																
2	yAe	uaE	0.4	20.9	0	0			0.4	110.76363636363637	0.4	128.21818181818182	0.4	145.6727272727273			-2	92.9090909090909	-2	110.86363636363636	-2	145.77272727272728																																																																																																																																
4	uEI	yei	0.3333333333333333	21.23333333333333	0	0			-2	108.76363636363637	-2	126.21818181818182	-2	143.6727272727273	0.3333333333333333	77.78787878787878	0.3333333333333333	93.24242424242424	0.3333333333333333	111.19696969696969	0.3333333333333333	146.10606060606062																																																																																																																																
6	AiO	aio	0.3333333333333333	21.566666666666663	0	0	0.3333333333333333	75.78787878787878	0.3333333333333333	109.0969696969697	0.3333333333333333	126.55151515151515	0.3333333333333333	144.00606060606063					-2	109.19696969696969	-2	144.10606060606062																																																									-2	75.18181818181819	-2	79.27272727272727	-2	86.63636363636364	-2	93.45454545454545																																																													-2	86.63636363636364	-2	93.45454545454545
7	eei	EEi	0.5	22.066666666666663	0	0					0.5	127.05151515151515	0.5	144.50606060606063			-2	91.24242424242424	-2	107.19696969696969	-2	142.10606060606062																																																																																													-2	69.45454545454545	-2	72.18181818181819													-2	75.18181818181819	-2	79.27272727272727													-2	84.63636363636364	-2	91.45454545454545
10	IIu	iiu	0.3333333333333333	22.399999999999995	0	0							-2	142.50606060606063	0.3333333333333333	78.12121212121211	0.3333333333333333	91.57575757575756	0.3333333333333333	107.53030303030302	0.3333333333333333	142.43939393939397																																																													-2	84.63636363636364	-2	91.45454545454545																																																																
12	ye	uE	0.4	22.799999999999994	0	0			0.4	109.4969696969697	0.4	127.45151515151515	0.4	142.90606060606063			-2	89.57575757575756	-2	105.53030303030302	-2	140.43939393939397																																																																																																																																
14	Io	iO	0.3333333333333333	23.133333333333326	0	0	-2	73.78787878787878	-2	107.4969696969697	-2	125.45151515151515	-2	140.90606060606063	0.3333333333333333	78.45454545454544	0.3333333333333333	89.90909090909089	0.3333333333333333	105.86363636363635	0.3333333333333333	140.7727272727273																																																																																																																																
